"source_path","doc_kind","namespace_or_section","target_path","notes"
"docs/md/GTA IV ScriptHook.Net Single File Documentation.md","legacy-monolith","archive","docs/reference/archive/legacy-single-file-export.md","Archive the monolithic export for parity checks only; do not treat it as supported public documentation."
"docs/md/GTA.base/BaseCollection[].Contains.md","type-member","GTA.base","docs/reference/gta-base/base-collection-array.md","Fold member page Contains into the owning type reference page."
"docs/md/GTA.base/BaseCollection[].CopyTo_overload_1.md","member-overload","GTA.base","docs/reference/gta-base/base-collection-array.md","Collapse the CopyTo overload detail into the owning type page."
"docs/md/GTA.base/BaseCollection[].CopyTo_overload_2.md","member-overload","GTA.base","docs/reference/gta-base/base-collection-array.md","Collapse the CopyTo overload detail into the owning type page."
"docs/md/GTA.base/BaseCollection[].CopyTo_overloads.md","member-overload-list","GTA.base","docs/reference/gta-base/base-collection-array.md","Collapse the CopyTo overload summary into the owning type page."
"docs/md/GTA.base/BaseCollection[].Count.md","type-member","GTA.base","docs/reference/gta-base/base-collection-array.md","Fold member page Count into the owning type reference page."
"docs/md/GTA.base/BaseCollection[].GetEnumerator.md","type-member","GTA.base","docs/reference/gta-base/base-collection-array.md","Fold member page GetEnumerator into the owning type reference page."
"docs/md/GTA.base/BaseCollection[].IndexOf.md","type-member","GTA.base","docs/reference/gta-base/base-collection-array.md","Fold member page IndexOf into the owning type reference page."
"docs/md/GTA.base/BaseCollection[].isReadOnly.md","type-member","GTA.base","docs/reference/gta-base/base-collection-array.md","Fold member page isReadOnly into the owning type reference page."
"docs/md/GTA.base/BaseCollection[].Item.md","type-member","GTA.base","docs/reference/gta-base/base-collection-array.md","Fold member page Item into the owning type reference page."
"docs/md/GTA.base/BaseCollection[].md","type-page","GTA.base","docs/reference/gta-base/base-collection-array.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/BaseCollection[].pAdd.md","type-member","GTA.base","docs/reference/gta-base/base-collection-array.md","Fold member page pAdd into the owning type reference page."
"docs/md/GTA.base/BaseCollection[].pAddRange.md","type-member","GTA.base","docs/reference/gta-base/base-collection-array.md","Fold member page pAddRange into the owning type reference page."
"docs/md/GTA.base/BaseCollection[].pClear.md","type-member","GTA.base","docs/reference/gta-base/base-collection-array.md","Fold member page pClear into the owning type reference page."
"docs/md/GTA.base/BaseCollection[].pInsert.md","type-member","GTA.base","docs/reference/gta-base/base-collection-array.md","Fold member page pInsert into the owning type reference page."
"docs/md/GTA.base/BaseCollection[].pRemove.md","type-member","GTA.base","docs/reference/gta-base/base-collection-array.md","Fold member page pRemove into the owning type reference page."
"docs/md/GTA.base/BaseCollection[].pRemoveAt.md","type-member","GTA.base","docs/reference/gta-base/base-collection-array.md","Fold member page pRemoveAt into the owning type reference page."
"docs/md/GTA.base/BaseCollection[].ToArray.md","type-member","GTA.base","docs/reference/gta-base/base-collection-array.md","Fold member page ToArray into the owning type reference page."
"docs/md/GTA.base/BaseCollection[]Constructor1.md","type-constructor","GTA.base","docs/reference/gta-base/base-collection-array.md","Merge constructor details into the owning type reference page."
"docs/md/GTA.base/BaseCollection[]Members.md","type-member-list","GTA.base","docs/reference/gta-base/base-collection-array.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/BaseCollection[]Methods.md","type-member-list","GTA.base","docs/reference/gta-base/base-collection-array.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/BaseCollection[]Properties.md","type-member-list","GTA.base","docs/reference/gta-base/base-collection-array.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/Collection[].Add.md","type-member","GTA.base","docs/reference/gta-base/collection-array.md","Fold member page Add into the owning type reference page."
"docs/md/GTA.base/Collection[].AddRange.md","type-member","GTA.base","docs/reference/gta-base/collection-array.md","Fold member page AddRange into the owning type reference page."
"docs/md/GTA.base/Collection[].Clear.md","type-member","GTA.base","docs/reference/gta-base/collection-array.md","Fold member page Clear into the owning type reference page."
"docs/md/GTA.base/Collection[].Insert.md","type-member","GTA.base","docs/reference/gta-base/collection-array.md","Fold member page Insert into the owning type reference page."
"docs/md/GTA.base/Collection[].isReadOnly.md","type-member","GTA.base","docs/reference/gta-base/collection-array.md","Fold member page isReadOnly into the owning type reference page."
"docs/md/GTA.base/Collection[].md","type-page","GTA.base","docs/reference/gta-base/collection-array.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/Collection[].Remove.md","type-member","GTA.base","docs/reference/gta-base/collection-array.md","Fold member page Remove into the owning type reference page."
"docs/md/GTA.base/Collection[].RemoveAt.md","type-member","GTA.base","docs/reference/gta-base/collection-array.md","Fold member page RemoveAt into the owning type reference page."
"docs/md/GTA.base/Collection[]Constructor1.md","type-constructor","GTA.base","docs/reference/gta-base/collection-array.md","Merge constructor details into the owning type reference page."
"docs/md/GTA.base/Collection[]Members.md","type-member-list","GTA.base","docs/reference/gta-base/collection-array.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/Collection[]Methods.md","type-member-list","GTA.base","docs/reference/gta-base/collection-array.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/Console.Close.md","type-member","GTA.base","docs/reference/gta-base/console.md","Fold member page Close into the owning type reference page."
"docs/md/GTA.base/Console.isActive.md","type-member","GTA.base","docs/reference/gta-base/console.md","Fold member page isActive into the owning type reference page."
"docs/md/GTA.base/Console.md","type-page","GTA.base","docs/reference/gta-base/console.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/Console.Open_overload_1.md","member-overload","GTA.base","docs/reference/gta-base/console.md","Collapse the Open overload detail into the owning type page."
"docs/md/GTA.base/Console.Open_overload_2.md","member-overload","GTA.base","docs/reference/gta-base/console.md","Collapse the Open overload detail into the owning type page."
"docs/md/GTA.base/Console.Open_overloads.md","member-overload-list","GTA.base","docs/reference/gta-base/console.md","Collapse the Open overload summary into the owning type page."
